編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
1,自行車竊盜,1040101,16~18,台北市大安區住安里四維路124巷1-30號,25.0318503,121.5478463
2,自行車竊盜,1040104,07~09,台北市大安區敦煌里仁愛路四段266巷1-30號,25.0382984,121.5440218
3,自行車竊盜,1040106,13~15,台北市萬華區國興路1-30號,25.0236573,121.5085158
4,自行車竊盜,1040108,07~09,台北市北投區清江里三合街二段481-510號,25.1262794,121.5013501
5,自行車竊盜,1040108,16~18,台北市松山區延壽街391-420號,25.0564796,121.5575652
6,自行車竊盜,1040109,04~06,台北市南港區三重里南港路一段南港展覽館站,25.0554052,121.6178521
7,自行車竊盜,1040109,13~15,台北市內湖區金湖里康寧路三段31-60號,25.0728127,121.6070777
8,自行車竊盜,1040109,13~15,台北市北投區大同里光明路1-30號,25.131841,121.498633
9,自行車竊盜,1040110,04~06,台北市內湖區康寧路三段31-60號,25.0728127,121.6070777
10,自行車竊盜,1040110,10~12,台北市松山區三民路121-150號,25.061144,121.5633312
11,自行車竊盜,1040110,16~18,台北市萬華區西昌街29巷1-30號,25.042786,121.500814
12,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,25.0551019,121.603242
13,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,25.0551019,121.603242
14,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,25.0551019,121.603242
15,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,25.0551019,121.603242
16,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,25.0551019,121.603242
17,自行車竊盜,1040111,07~09,台北市萬華區萬大路387巷1-30號,25.0327132,121.5006447
18,自行車竊盜,1040111,13~15,台北市北投區大同里光明路1-30號,25.131841,121.498633
19,自行車竊盜,1040113,10~12,台北市中正區忠孝東路一段31-60號,25.0445321,121.5255064
20,自行車竊盜,1040115,07~09,台北市信義區中行里福德街221巷4弄1-30號,25.0382612,121.5849962
21,自行車竊盜,1040116,04~06,台北市松山區撫遠街361-390號,25.0630373,121.5659472
22,自行車竊盜,1040117,16~18,台北市大安區仁慈里仁愛路四段1-30號,25.0382984,121.5440218
23,自行車竊盜,1040118,07~09,台北市萬華區西園路二段91-120號,25.030491,121.496799
24,自行車竊盜,1040119,07~09,台北市信義區大道里忠孝東路五段781-810號,25.0439499,121.581816
25,自行車竊盜,1040120,10~12,台北市信義區西村里松壽路1-30號,25.035706,121.568053
26,自行車竊盜,1040121,10~12,台北市內湖區南湖里東湖捷運站,25.067247,121.611504
27,自行車竊盜,1040121,10~12,台北市內湖區港墘里內湖路一段661-690號,25.0802328,121.575526
28,自行車竊盜,1040122,22~24,台北市北投區一德里中央北路四段577巷27弄1-30號,25.1265373,121.4678015
29,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段1-30號,25.0543068,121.6053326
30,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段與興華路口,25.0542865,121.6062046
31,自行車竊盜,1040123,19~21,台北市北投區東華里東華街二段301-330號,25.1208763,121.5062194
32,自行車竊盜,1040123,19~21,台北市北投區石牌里自強街91-120號,25.1107991,121.5156318
33,自行車竊盜,1040123,22~24,台北市松山區三民路62巷1-30號,25.0546655,121.5640334
34,自行車竊盜,1040124,22~24,台北市中正區黎明里市民大道一段台北捷運站,25.0464924,121.5172895
35,自行車竊盜,1040125,10~12,台北市中正區東門里愛國東路上,25.0335951,121.5199046
36,自行車竊盜,1040125,10~12,台北市南港區鴻福里成福路31-60號,25.0446815,121.5865538
37,自行車竊盜,1040125,13~15,台北市萬華區西園路二段211-240號,25.0271608,121.4942961
38,自行車竊盜,1040126,10~12,台北市信義區忠孝東路五段市府捷運站,25.0409614,121.5650821
39,自行車竊盜,1040126,13~15,台北市萬華區寶興街121-150號,25.0252155,121.4948481
40,自行車竊盜,1040127,16~18,台北市北投區桃源里中央北路三段53巷1-30號,25.1383699,121.4859133
41,自行車竊盜,1040128,04~06,台北市文山區興邦里興隆路二段181-210號,25.0006761,121.5492489
42,自行車竊盜,1040128,13~15,台北市大安區信義路敦化南路口,25.0333505,121.5485602
43,自行車竊盜,1040129,16~18,台北市大安區敦煌里安和路一段61-90號,25.0375068,121.551568
44,自行車竊盜,1040130,10~12,台北市萬華區西園路二段241-270號,25.0264692,121.4934782
45,自行車竊盜,1040130,16~18,台北市北投區一德里大度路三段296巷31-60號,25.1242089,121.46677
46,自行車竊盜,1040131,16~18,台北市中山區松江路361-390號,25.0636359,121.533545
47,自行車竊盜,1040201,19~21,台北市松山區慶城街1-30號,25.0528006,121.544604
48,自行車竊盜,1040204,19~21,台北市大同區星明里寧夏路1-30號,25.0559146,121.5151271
49,自行車竊盜,1040205,07~09,台北市北投區關渡里關渡路61-90號,25.118642,121.468816
50,自行車竊盜,1040205,16~18,台北市北投區榮光里致遠一路二段31-60號,25.1120478,121.5138922
51,自行車竊盜,1040205,19~21,台北市信義區長春里虎林街82巷31-60號,25.0432781,121.5759586
