編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
1,住宅竊盜,991013,22~24,台北市內湖區成功路4段331 ~ 360號,25.0844694,121.59923730000003
2,住宅竊盜,991024,13~15,台北市南港區東新里興南街52巷1 ~ 30號,25.056811,121.60355600000003
3,住宅竊盜,1010606,10~12,台北市中山區通北街65巷2弄1 ~ 30號,25.0832353,121.53965470000003
4,住宅竊盜,1020101,19~21,台北市大同區雙連里萬全街103巷,25.0583686,121.51643280000008
5,住宅竊盜,1021201,10~12,台北市大安區黎孝里和平東路3段308巷1弄1 ~ 30號,25.0199469,121.55621900000006
6,住宅竊盜,1030915,01~03,台北市萬華區長泰街91 ~ 120號,25.0226454,121.49933880000003
7,住宅竊盜,1040101,07~09,台北市中山區新生北路一段91~120號,25.0463313,121.53239759999997
8,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路四段1~30號,24.991519,121.56074799999999
9,住宅竊盜,1040101,22~24,台北市文山區萬美里萬寧街1~30號,25.0031529,121.56463800000006
10,住宅竊盜,1040101,22~24,台北市信義區富台里忠孝東路五段295巷6弄1~30號,25.0417047,121.57377240000005
11,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號,25.0346631,121.49606140000003
12,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號,25.0346631,121.49606140000003
13,住宅竊盜,1040102,10~12,台北市中山區吉林路121~150號,25.0570513,121.53032050000002
14,住宅竊盜,1040102,22~24,台北市士林區天福里1鄰忠誠路二段130巷1~30號,25.1139037,121.53172289999998
15,住宅竊盜,1040104,10~12,台北市信義區五常里永吉路225巷32弄1~30號,25.047144,121.57311800000002
16,住宅竊盜,1040104,10~12,台北市士林區明勝里通河街31 ~ 60號,25.0800773,121.52303110000003
17,住宅竊盜,1040105,04~06,台北市萬華區糖?里大理街159巷1~30號,25.0346122,121.4960711
18,住宅竊盜,1040105,10~12,台北市北投區吉慶里實踐街56巷1~30號,25.1150016,121.50848569999994
19,住宅竊盜,1040105,16~18,台北市中正區忠勤里中華路二段311巷1~30號,25.0284004,121.50570930000004
20,住宅竊盜,1040105,22~24,台北市中山區南京東路三段181~210號,25.0516888,121.543275
21,住宅竊盜,1040106,04~06,台北市信義區雅祥里基隆路一段1~30號,25.0470216,121.56824649999999
22,住宅竊盜,1040106,16~18,台北市中正區水源里汀州路三段91~120號,25.014078,121.53352300000006
23,住宅竊盜,1040108,07~09,台北市文山區萬美里萬美街一段61~90號,25.0016363,121.56588699999998
24,住宅竊盜,1040109,10~12,台北市內湖區港華里港華街1~30號,25.0823766,121.57790499999999
