單位,郵遞區號,地址,電話,層級,latitude,longitude
新北市政府警察局,220,新北市板橋區府中路32號,02  80725454,總局,25.0098073,121.4584724
土城分局,236,新北市土城區和平路22號,02  22665929,分局,24.9732888,121.4429303
土城派出所,236,新北市土城區和平路22號,02  22656058,派出所,24.9732888,121.4429303
金城派出所,236,新北市土城區延吉街318號,02 22633152,派出所,24.9840948,121.4635677
廣福派出所,236,新北市土城區學府路1段103號,02 22701588,派出所,24.9876909,121.4560677
清水派出所,236,新北市土城區青雲路220號,02  22615090,派出所,24.981271,121.4588729
頂埔派出所,236,新北市土城區中央路3段164號,02 22681220,派出所,24.965666,121.4317127
三峽分局,237,新北市三峽區中正路1段48號,02  26711796,分局,24.9305324,121.3752242
吉埔派出所,237,新北市三峽區中正路2段451號1樓,02  26711278,派出所,24.9062559,121.361498
成福派出所,237,新北市三峽區成福路84號,02  26726097,派出所,24.9298145,121.4206091
圳頭派出所,237,新北市三峽區中正路2段451號1樓,02  26741167,派出所,24.9062559,121.361498
五寮派出所,237,新北市三峽區五寮里五寮154號,02  26720283,派出所,24.8581201,121.359372
插角派出所,237,新北市三峽區插角里插角67之1號,02  26720121,派出所,24.8708977,121.4065362
湖山派出所,239,新北市鶯歌區大湖路370號,02  26792474,派出所,24.9728912,121.3462074
鳳鳴派出所,239,新北市鶯歌區鳳鳴里莒光街20號,02  26789110,派出所,24.9662601,121.3324643
二橋派出所,239,新北市鶯歌區中正三路6號,02  26781225,派出所,24.9422376,121.3390099
橫溪派出所,237,新北市三峽區介壽路3段49號,02  86761762,派出所,24.9374086,121.3954845
鶯歌分駐所,239,新北市鶯歌區中正一路195號,02  26792024,派出所,24.957154,121.3533159
三峽派出所,237,新北市三峽區民權街38號,02  26711254,派出所,24.9337182,121.3696499
北大派出所,238,新北市樹林區大雅路346號,02 26683092,派出所,24.9490444,121.3793102
三重分局,241,新北市三重區重新路3段147號,02  89818900,分局,25.0591637,121.4899949
永福派出所,241,新北市三重區力行路2段162巷53號,02  22802065,派出所,25.0765646,121.4813569
中興橋派出所,241,新北市三重區成功路21號,02  29789513,派出所,25.0504832,121.4901709
光明派出所,241,新北市三重區過圳街46號,02  29860655,派出所,25.0607781,121.4871768
慈福派出所,241,新北市三重區仁愛街519號,02  29815111,派出所,25.0821855,121.4873429
厚德派出所,241,新北市三重區三和路3段186號,02  29712064,派出所,25.0734915,121.491965
長泰派出所,241,新北市三重區三和路2段152號,02  29735094,派出所,25.0683574,121.499473
三重派出所,241,新北市三重區重新路1段43號,02  29722553,派出所,25.0640135,121.5023402
大同派出所,241,新北市三重區大同南路155號,02  29723261,派出所,25.056793,121.496452
二重派出所,241,新北市三重區重新路5段406號,02  29956794,派出所,25.0475015,121.4759438
大有派出所,241,新北市三重區大有里中正北路402號,02  89851911,派出所,25.0702756,121.4757032
重陽派出所,241,新北市三重區集賢路163號,02  82879727,派出所,25.0893483,121.4879422
中和分局,235,新北市中和區圓通路30號,02  22498950,分局,24.9979038,121.5010435
中和派出所,235,新北市中和區中和路102之1號,02  22492624,派出所,24.9995475,121.5023446
安平派出所,235,新北市中和區中安街175號,02  29264139,派出所,24.9997749,121.5111798
秀山派出所,235,新北市中和區成功路139號,02  29402114,派出所,24.9905214,121.5259513
南勢派出所,235,新北市中和區南山路322號,02  29419445,派出所,24.9865922,121.5079709
景安派出所,235,新北市中和區復興路276號,02  22436955,派出所,24.9904579,121.5025639
國光派出所,235,新北市中和區莒光路160號,02  29569805,派出所,24.9997892,121.472633
錦和派出所,235,新北市中和區中正路275號1樓,02  22482551,派出所,24.9935848,121.4953792
中原派出所,235,新北市中和區立德街60號,02  22213029,派出所,25.0075989,121.4883469
積穗派出所,235,新北市中和區員山路471號,02  22268955,派出所,25.0047803,121.4800267
員山派出所,235,新北市永和區員山路235巷1號,02  22237295,派出所,24.9982688,121.4808713
板橋分局,220,新北市板橋區文化路1段52號,02 80725454,分局,25.0123967,121.4600776
沙崙派出所,220,新北市板橋區溪北路111號,02  26812741,派出所,24.988504,121.4305364
大觀派出所,220,新北市板橋區大觀路2段127號,02  22752477,派出所,25.0012138,121.4459593
後埔派出所,220,新北市板橋區成都街22號,02  29615964,派出所,25.0047452,121.4608111
板橋派出所,220,新北市板橋區文化路1段52號2樓,02  29699446,派出所,25.0123967,121.4600776
信義派出所,220,新北市板橋區廣權路28號,02  29592317,派出所,24.9913234,121.4617809
樹林分局,238,新北市樹林區保安街1段283號,02  26812101,分局,24.9968903,121.4189258
柑園派出所,238,新北市樹林區佳園路3段20號,02  26801075,派出所,24.9542682,121.3878573
山佳派出所,238,新北市樹林區中山路3段38號,02  26806114,派出所,24.9727789,121.3948457
三多派出所,238,新北市樹林區三福街72號,02  26894108,派出所,25.0163078,121.4046918
樹林派出所,238,新北市樹林區鎮前街35號,02  26812034,派出所,24.9919181,121.4255444
彭厝派出所,238,新北市樹林區國凱街65號,02 86868077,派出所,24.9799298,121.4221681
永和分局,234,新北市永和區竹林路198號,02  29213119,分局,25.0096126,121.5204118
得和派出所,234,新北市永和區民權路51號,02  29451969,派出所,24.9970574,121.5200353
中正橋派出所,234,新北市永和區永和路2段303號,02  29215119,派出所,25.0164026,121.515799
新生派出所,234,新北市永和區仁愛路187號,02  29217119,派出所,25.0125961,121.5102178
秀朗派出所,234,新北市永和區永利路322巷29號1、2樓,02  29251130,派出所,25.0059499,121.518322
永和派出所,234,新北市永和區安樂路344號,02  29214229,派出所,25.006284,121.5145258
