單位,郵遞區號,地址,電話,層級,lat,long
臺北市政府警察局,100,臺北市中正區延平南路96號,02 23313561,總局,25.0439111,121.5097688
中山分局,104,臺北市中山區中山北路2段1號,02 25412491,分局,25.0524875,121.522842
中山一派出所,104,臺北市中山區中山北路1段110號,02 25519321,派出所,25.0500057,121.5214311
中山二派出所,104,臺北市中山區中山北路2段90號,02 25517771,派出所,25.0577524,121.5226173
圓山派出所,104,臺北市中山區中山北路3段62號,02 25969433,派出所,25.0727314,121.5238607
長春路派出所,104,臺北市中山區長春路206號,02 25062289,派出所,25.0546395,121.5360472
長安東路派出所,104,臺北市中山區長安東路2段165號,02 27735207,派出所,25.0483336,121.5404211
民權一派出所,104,臺北市中山區新生北路2段127之1號,02 25314672,派出所,25.0599554,121.5279445
建國路派出所,104,臺北市中山區民族東路284號,02 25099774,派出所,25.0680074,121.5360473
大直派出所,104,臺北市中山區北安路456號,02 25332984,派出所,25.0795106,121.544124
大安分局,106,臺北市大安區仁愛路3段2號,02 23259850,分局,25.0378724,121.533106
羅斯福路派出所,106,臺北市大安區羅斯福路4段113巷13號,02 27355761,派出所,25.0111861,121.5388738
臥龍街派出所,106,臺北市大安區臥龍街185號,02 27334439,派出所,25.0180005,121.5518352
敦化南路派出所,106,臺北市大安區復興南路1段219之1號,02 27710400,派出所,25.0391486,121.5441208
安和路派出所,106,臺北市大安區信義路4段216號,02 27025232,派出所,25.0329951,121.5521851
瑞安街派出所,106,臺北市大安區瑞安街23巷17號,02 27054164,派出所,25.0311932,121.545068
和平東路派出所,106,臺北市大安區和平東路1段143號,02 23218073,派出所,25.0266151,121.5305091
新生南路派出所,106,臺北市大安區仁愛路3段18號,02 23258611,派出所,25.0378152,121.5340116
中正一分局,100,臺北市中正區公園路15號,02 23716426,分局,25.0450882,121.5173144
忠孝西路派出所,100,臺北市中正區公園路15號,02 23142722,派出所,25.0450882,121.5173144
忠孝東路派出所,100,臺北市中正區忠孝東路2段10號,02 23218656,派出所,25.0436743,121.5271714
仁愛路派出所,100,臺北市中正區仁愛路1段19號,02 23212067,派出所,25.0389572,121.5226615
介壽路派出所,100,臺北市中正區公園路54號,02 23113081,派出所,25.0399944,121.5155347
博愛路派出所,100,臺北市中正區博愛路119號,02 23142724,派出所,25.0417823,121.5115685
中正二分局   ,100,臺北市中正區南海路35號,02 23751825,分局,25.0320412,121.5139746
南海路派出所,100,臺北市中正區南海路35號,02 23752835,派出所,25.0320412,121.5139746
思源街派出所,100,臺北市中正區汀州路3段72號,02 23650844,派出所,25.0151341,121.5320627
南昌路派出所,100,臺北市中正區龍福里南昌路1段7號,02 23218148,派出所,25.0323688,121.5165391
泉州街派出所,100,臺北市中正區中華路2段503號,02 23039915,派出所,25.0243042,121.5120731
廈門街派出所,100,臺北市中正區廈門街43號,02 23684427,派出所,25.0258641,121.5176852
文山二分局   ,116,臺北市文山區景中街2號,02 29313843,分局,24.9928162,121.5410417
萬盛派出所,116,臺北市文山區羅斯福路5段151號,02 29312502,派出所,25.003904,121.5389083
景美派出所,116,臺北市文山區景中街2號,02 29313459,派出所,24.9928162,121.5410417
興隆派出所,116,臺北市文山區里興隆路2段156號,02 29313842,派出所,25.0015122,121.5511872
文山一分局,116,臺北市文山區木柵路2段202號,02 29395734,分局,24.9887889,121.5635456
木新派出所,116,臺北市文山區恆光街45號,02 29372488,派出所,24.9824043,121.5672982
指南派出所,116,臺北市文山區指南路2段177號,02 29382712,派出所,24.9873027,121.5779593
萬芳派出所,116,臺北市文山區萬芳里萬美街1段50號,02 22391753,派出所,25.0024736,121.5685438
復興派出所,116,臺北市文山區木柵路1段54號,02 22367140,派出所,24.9867694,121.5470169
木柵派出所,116,臺北市文山區木柵路2段202號,02 29397141,派出所,24.9887889,121.5635456
南港分局,115,臺北市南港區向陽路150號,02 27839110,分局,25.0553339,121.5948701
玉成派出所,115,臺北市南港區向陽路150號,02 27886958,派出所,25.0553339,121.5948701
舊莊派出所,115,臺北市南港區舊莊街1段213號,02 27822492,派出所,25.0384311,121.6226627
同德派出所,115,臺北市南港區同德路83號,02 27867201,派出所,25.0461086,121.5856772
南港派出所,115,臺北市南港區興中路12巷2號,02 27830476,派出所,25.0549451,121.607169
內湖分局,114,臺北市內湖區民權路6段101號,02 27900505,分局,25.0691894,121.589565
康樂派出所,114,臺北市內湖區康樂街110巷16弄20號,02 26342237,派出所,25.0704268,121.6183878
東湖派出所,114,臺北市內湖區五分街10號,02 26313350,派出所,25.0674688,121.6129898
文德派出所,114,臺北市內湖區民權東路6段26號,02 27944946,派出所,25.0665885,121.578944
大湖派出所,114,臺北市內湖區成功路5段1號,02 27909521,派出所,25.0840934,121.6013234
港墘派出所,114,臺北市內湖區內湖路1段550號,02 87518690,派出所,25.0788249,121.5768116
西湖派出所,114,臺北市內湖區瑞光路515號,02 27987505,派出所,25.079179,121.5691512
潭美派出所,114,臺北市內湖區新明路324號,02 27917233,派出所,25.0553025,121.5816589
內湖派出所,114,臺北市內湖區內湖路2段261號,02 27931031,派出所,25.0820751,121.5901333
康寧派出所,114,臺北市內湖區金湖路83號,02 87920061,派出所,25.0812607,121.597549
北投分局,112,臺北市北投區中央北路1段1號,02 28914521,分局,25.1333343,121.5014293
永明派出所,112,臺北市北投區石牌路2段10號,02 28213110,派出所,25.1154019,121.5155863
竹子湖派出所,112,臺北市北投區竹子湖路16號,02 28616082,派出所,25.1674669,121.5402074
公園派出所,112,臺北市北投區紗帽路110號,02 28610145,派出所,25.1488478,121.5486709
關渡派出所,112,臺北市北投區大度路3段305號,02 28583864,派出所,25.1229971,121.4659472
石牌派出所,112,臺北市北投區文林北路296號,02 28231513,派出所,25.1099348,121.5124581
奇岩派出所,112,臺北市北投區公館路209巷11號,02 28954410,派出所,25.132962,121.504826
大屯派出所,112,臺北市北投區中和街534號,02 28913971,派出所,25.1455412,121.4932189
光明派出所,112,臺北市北投區泉源路14號,02 28911647,派出所,25.13737,121.504243
長安派出所,112,臺北市北投區中央北路1段1號,02 28912029,派出所,25.1333343,121.5014293
士林分局    ,111,臺北市士林區文林路235號,02 28813856,分局,25.0906919,121.5266752
翠山派出所,111,臺北市士林區中社路1段56號,02 28411423,派出所,25.1081261,121.5602615
後港派出所,111,臺北市士林區福港街151號,02 28829373,派出所,25.0872939,121.518051
山仔后派出所,111,臺北市士林區格致路39號,02 28611295,派出所,25.1372852,121.5463593
永福派出所,111,臺北市士林區仰德大道3段49號,02 28616353,派出所,25.1184393,121.5523639
溪山派出所,111,臺北市士林區至善路3段263號,02 28411110,派出所,25.1197357,121.5845271
芝山岩派出所,111,臺北市士林區仰德大道1段16號,02 28813194,派出所,25.101122,121.537886
天母派出所,111,臺北市士林區中山北路7段192號,02 28714110,派出所,25.1250013,121.5329663
蘭雅派出所,111,臺北市士林區中山北路6段153號1樓 ,02 28315001,派出所,25.1065714,121.5246848
社子派出所,111,臺北市士林區延平北路6段237號,02 28122720,派出所,25.0892747,121.504709
文林派出所,111,臺北市士林區文林路235號,02 28812211,派出所,25.0906919,121.5266752
信義分局    ,110,臺北市信義區信義路5段17號,02 27234739,分局,25.0331408,121.5680334
六張犁派出所,110,臺北市信義區嘉興街301號,02 27355068,派出所,25.0237023,121.5550853
吳興街派出所,110,臺北市信義區吳興街262號,02 27398997,派出所,25.0265855,121.5639282
福德街派出所,110,臺北市信義區福德街198號,02 27273424,派出所,25.0373281,121.5815548
五分埔派出所,110,臺北市信義區永吉路333號,02 27653349,派出所,25.0457035,121.5758421
三張犁派出所,110,臺北市信義區信義路5段17號,02 27295561,派出所,25.0331408,121.5680334
松山分局    ,105,臺北市南京東路4段12號,02 25796508,分局,25.051286,121.552394
民有派出所,105,臺北市松山區民權東路3段162號,02 27123638,派出所,25.0618179,121.5480767
三民派出所,105,臺北市松山區三民里民生東路5段163之1號,02 27621708,派出所,25.0593151,121.5629083
東社派出所,105,臺北市松山區精忠里敦化北路199巷5之1號,02 27135253,派出所,25.0567317,121.5514737
中崙派出所,105,臺北市南京東路4段12號,02 25790718,派出所,25.051286,121.552394
松山派出所,105,臺北市松山區八德路4段692號,02 27670446,派出所,25.0499073,121.57726
大同分局    ,103,臺北市大同區錦西街200號,02 25577262,分局,25.059372,121.5150906
建成派出所,103,臺北市大同區承德路1段80號,02 25585463,派出所,25.0527926,121.5172947
民生西路派出所,103,臺北市大同區保安街47之1號,02 25538587,派出所,25.0592239,121.512054
延平派出所,103,臺北市大同區延平北路1段86號,02 25564340,派出所,25.0521655,121.5116931
