"tvname","density"
"士林區三玉里","113.54958511708"
"士林區仁勇里","331.71573165345"
"士林區公館里","8.269369500084"
"士林區天山里","430.83797687237"
"士林區天母里","37.996793360344"
"士林區天玉里","365.03759601852"
"士林區天和里","206.56046018696"
"士林區天祿里","382.99070514723"
"士林區天壽里","248.12612275543"
"士林區天福里","325.33026601878"
"士林區平等里","2.3386813811439"
"士林區永倫里","120.13537825932"
"士林區永福里","9.1277581359192"
"士林區名山里","191.62255365889"
"士林區百齡里","514.15213267764"
"士林區岩山里","74.663110433977"
"士林區忠誠里","408.30382223212"
"士林區承德里","463.82940188423"
"士林區明勝里","177.4366347968"
"士林區東山里","36.741708809089"
"士林區社子里","183.10115196977"
"士林區社園里","385.28066884197"
"士林區社新里","230.7282223922"
"士林區芝山里","71.612040796801"
"士林區前港里","291.07306431066"
"士林區後港里","148.15189662428"
"士林區富光里","198.70704603981"
"士林區富洲里","18.3179515086"
"士林區菁山里","1.464017650253"
"士林區陽明里","14.488491759971"
"士林區新安里","10.660154385057"
"士林區溪山里","1.4637148641062"
"士林區義信里","159.78090783283"
"士林區聖山里","485.71157363268"
"士林區葫東里","211.86657762481"
"士林區葫蘆里","251.92540935059"
"士林區福中里","279.59049495378"
"士林區福安里","18.931201238389"
"士林區福志里","222.04254188867"
"士林區福佳里","162.59712484638"
"士林區福林里","16.048255391558"
"士林區福華里","481.04855030544"
"士林區福順里","236.08876369221"
"士林區福德里","215.28836578798"
"士林區翠山里","17.783055577081"
"士林區德行里","233.25319235923"
"士林區德華里","203.94387736191"
"士林區臨溪里","13.76293455776"
"士林區舊佳里","375.2178700528"
"士林區蘭雅里","421.57548467232"
"士林區蘭興里","254.85035619972"
"大同區大有里","248.92525357781"
"大同區民權里","321.98721559566"
"大同區永樂里","266.65793575232"
"大同區玉泉里","98.124536222592"
"大同區光能里","438.30451460876"
"大同區老師里","109.52719313174"
"大同區至聖里","333.0036857765"
"大同區延平里","464.25979879768"
"大同區保安里","236.03036475677"
"大同區南芳里","194.05316832972"
"大同區建功里","397.83577014411"
"大同區建明里","239.01880030946"
"大同區建泰里","308.40795336455"
"大同區星明里","399.32960466194"
"大同區重慶里","177.74438414384"
"大同區國順里","243.53356808168"
"大同區國慶里","387.9654589766"
"大同區揚雅里","657.65554404201"
"大同區斯文里","495.84370962809"
"大同區景星里","268.66882318544"
"大同區朝陽里","433.04918003151"
"大同區隆和里","264.65203504067"
"大同區蓬萊里","307.21106285455"
"大同區鄰江里","285.64451199657"
"大同區雙連里","495.12696383789"
"大安區大學里","462.65129727914"
"大安區仁慈里","480.76840575752"
"大安區仁愛里","264.3668126407"
"大安區古風里","417.11234230703"
"大安區古莊里","327.43062508783"
"大安區正聲里","475.68106396628"
"大安區民炤里","323.80215274215"
"大安區民輝里","209.49702068014"
"大安區永康里","336.15072843034"
"大安區光明里","305.32979828267"
"大安區光武里","424.44686521691"
"大安區光信里","607.22000030469"
"大安區全安里","351.89136314522"
"大安區住安里","408.87650051816"
"大安區車層里","547.71880939711"
"大安區和安里","250.99350258153"
"大安區昌隆里","237.61678676098"
"大安區法治里","408.2633297079"
"大安區臥龍里","103.08383934473"
"大安區芳和里","222.10548972741"
"大安區虎嘯里","261.05946128796"
"大安區建安里","369.8760829293"
"大安區建倫里","386.40598186569"
"大安區通化里","544.27295126361"
"大安區通安里","499.30387717718"
"大安區敦安里","380.44795578012"
"大安區敦煌里","481.19775528463"
"大安區華聲里","339.27284141243"
"大安區新龍里","789.37801455471"
"大安區義安里","330.96996996205"
"大安區義村里","251.02157491583"
"大安區群英里","1101.9595962551"
"大安區群賢里","434.17378729007"
"大安區誠安里","415.15850870274"
"大安區福住里","481.34882909042"
"大安區德安里","414.90704862987"
"大安區黎元里","226.39607477681"
"大安區黎孝里","249.4839672409"
"大安區黎和里","98.354226087361"
"大安區學府里","13.030188004688"
"大安區錦安里","406.2585254835"
"大安區錦泰里","294.87827634709"
"大安區錦華里","557.62302972392"
"大安區龍生里","577.66190937713"
"大安區龍安里","465.64634779644"
"大安區龍坡里","426.27863574264"
"大安區龍門里","90.678529492169"
"大安區龍泉里","510.47080462596"
"大安區龍陣里","414.37243321603"
"大安區龍淵里","597.62977445857"
"大安區龍雲里","325.22099294305"
"大安區龍圖里","322.41691744629"
"大安區臨江里","588.36322526364"
"中山區力行里","204.81628294337"
"中山區下埤里","387.44987070906"
"中山區大佳里","8.375219197307"
"中山區大直里","154.82398934764"
"中山區中山里","377.26053348251"
"中山區中央里","155.00528856959"
"中山區中吉里","303.71694548242"
"中山區中庄里","356.42988981635"
"中山區中原里","298.51738838755"
"中山區北安里","66.784121698595"
"中山區正守里","282.91594966634"
"中山區正得里","248.70776813883"
"中山區正義里","401.54902938174"
"中山區民安里","223.48625439709"
"中山區永安里","380.34244975149"
"中山區成功里","108.40437292955"
"中山區朱崙里","229.12631029361"
"中山區朱園里","164.17434657034"
"中山區朱馥里","339.05599511702"
"中山區江山里","396.91281519392"
"中山區江寧里","410.31675713774"
"中山區行仁里","430.21395533114"
"中山區行孝里","341.00765432469"
"中山區行政里","430.47147862029"
"中山區松江里","351.44436083748"
"中山區金泰里","72.466390046797"
"中山區恆安里","351.50470281166"
"中山區埤頭里","195.00055224113"
"中山區康樂里","170.03003101216"
"中山區復華里","218.97391244582"
"中山區晴光里","493.43548170508"
"中山區集英里","224.40045126115"
"中山區圓山里","72.574995965313"
"中山區新生里","375.58376509881"
"中山區新庄里","82.423399401171"
"中山區新喜里","501.42540022856"
"中山區新福里","374.11604607068"
"中山區聚盛里","336.79294974906"
"中山區聚葉里","318.53608242512"
"中山區劍潭里","15.785025392692"
"中山區興亞里","216.57312507818"
"中山區龍洲里","757.2689676738"
"中正區三愛里","403.4498970967"
"中正區文北里","334.80520703666"
"中正區文盛里","261.58815380804"
"中正區文祥里","706.08218619167"
"中正區水源里","79.185935919936"
"中正區永功里","479.55887590773"
"中正區永昌里","542.33743345493"
"中正區光復里","141.04264106025"
"中正區幸市里","281.48397026369"
"中正區幸福里","169.39509381775"
"中正區忠勤里","694.38433913781"
"中正區東門里","61.392502814462"
"中正區林興里","122.34050087932"
"中正區板溪里","386.42484566999"
