村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女
一德里,2778,7733,3828,3905,48,48,39,46,40,42,63,49,34,42,43,35,50,31,35,32,29,32,29,31,37,24,26,19,29,21,37,28,50,38,51,40,47,47,44,39,51,45,44,47,43,37,43,46,51,51,52,47,51,45,52,58,60,50,58,59,40,55,59,54,53,72,81,60,69,79,72,81,89,99,87,75,71,92,69,69,74,57,73,53,56,61,61,48,73,62,65,54,53,68,71,59,65,73,44,52,57,53,45,63,41,61,48,73,54,66,52,58,73,64,49,75,56,46,63,56,43,64,50,68,44,59,60,55,43,46,46,46,41,43,44,32,32,24,28,35,13,24,25,17,18,25,21,23,23,16,14,22,24,24,17,22,16,15,14,18,10,17,5,17,11,12,9,20,6,12,12,10,10,11,7,10,9,10,10,9,4,15,7,5,5,5,1,2,1,2,3,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0
九如里,2498,6781,3363,3418,43,38,48,34,35,48,42,52,28,39,25,25,30,28,23,32,28,28,25,28,31,27,21,20,25,30,33,21,27,28,39,33,35,26,46,26,41,45,46,47,36,27,37,34,42,34,48,33,40,30,46,35,30,40,50,42,48,47,38,56,47,57,52,59,53,54,69,60,63,72,65,74,54,58,60,49,63,67,55,61,55,49,60,50,54,49,47,58,50,49,49,55,57,57,54,45,50,57,54,55,64,53,64,58,54,46,47,57,50,48,45,48,52,44,46,48,48,54,45,53,51,31,51,37,38,46,39,52,35,48,29,56,28,35,23,37,26,30,27,19,11,26,13,24,23,30,14,21,18,20,15,24,19,18,11,19,14,15,6,12,10,15,10,7,9,15,10,14,14,16,13,14,22,9,14,7,13,7,8,11,15,6,5,4,3,2,3,6,2,2,3,5,4,0,2,0,0,1,0,0,0,0
八仙里,2113,5726,2797,2929,39,24,31,37,36,25,36,30,29,23,16,18,22,21,9,14,25,17,17,23,25,24,24,14,38,23,32,18,29,19,30,36,30,40,29,26,34,36,45,36,39,36,31,33,33,35,39,40,25,22,34,40,45,44,27,24,39,47,32,37,40,29,56,55,40,50,60,67,57,72,54,66,58,50,46,46,57,51,33,35,49,39,31,43,39,46,46,46,40,50,33,51,43,60,53,43,38,44,47,49,42,44,53,43,44,35,38,40,37,57,56,40,40,42,45,48,39,51,36,52,45,47,31,48,40,55,33,40,48,37,39,38,31,24,21,25,17,28,12,21,14,24,19,18,18,23,14,12,18,15,14,12,12,17,8,18,14,10,8,9,3,18,9,8,3,11,9,10,7,5,8,2,6,8,5,3,3,6,4,8,6,6,3,3,3,1,0,4,1,4,0,2,1,1,0,0,0,2,0,0,0,0
力行里,2681,6174,2884,3290,33,28,30,36,36,41,31,35,18,19,29,26,18,24,25,19,27,18,13,15,12,15,13,13,8,13,23,16,25,20,26,36,30,37,28,23,34,26,36,39,35,37,31,31,27,35,29,42,26,34,44,43,26,33,37,27,29,45,44,33,48,41,48,52,40,49,44,80,53,50,44,47,53,40,33,47,46,54,31,47,36,45,35,41,45,42,39,42,29,49,43,54,46,43,36,50,47,48,34,47,47,51,50,55,49,56,44,43,51,55,48,61,47,56,46,50,45,68,59,70,48,51,49,63,41,66,45,64,51,45,38,55,39,40,43,36,31,42,13,31,17,21,13,24,32,32,25,21,26,23,29,23,22,33,15,20,14,23,16,14,15,22,12,16,9,15,17,22,17,15,14,20,8,12,12,11,1,5,9,10,4,9,9,2,2,3,3,3,2,2,0,0,2,1,0,1,0,0,1,0,1,2
三民里,2922,7143,3270,3873,26,40,34,43,48,25,36,36,25,34,36,31,39,32,27,31,30,26,23,25,32,22,25,21,28,36,27,40,36,39,45,36,20,39,38,29,41,42,26,30,44,26,33,33,38,30,30,34,36,32,44,37,29,34,30,41,29,30,26,43,39,52,38,49,36,54,57,74,40,51,51,62,55,66,41,60,49,45,61,67,45,62,54,66,50,68,47,64,55,61,44,65,59,75,62,73,66,59,47,70,43,59,45,52,50,57,53,51,46,59,37,61,42,55,44,65,44,72,49,64,51,44,44,54,59,69,33,62,54,53,35,50,32,62,49,60,39,55,22,34,27,38,33,42,33,39,25,38,27,39,32,24,22,25,14,24,14,31,19,24,15,24,15,13,16,11,16,11,12,19,14,5,9,16,7,12,16,15,7,12,14,7,9,6,7,2,7,4,3,3,2,2,2,1,2,1,2,1,1,0,0,6
三玉里,2167,6140,2870,3270,48,19,32,31,44,39,44,35,35,31,18,31,24,22,20,29,17,20,22,10,23,13,20,15,19,27,30,18,20,26,35,33,30,27,33,18,35,37,39,33,31,33,39,43,38,36,29,32,38,40,38,40,33,38,45,41,35,42,41,50,49,55,51,49,51,60,57,49,68,66,55,73,47,73,46,59,36,53,39,49,39,41,39,43,35,36,41,27,36,49,31,44,34,42,34,51,43,48,36,41,45,48,41,49,42,49,37,56,34,65,40,62,38,73,44,65,40,63,51,58,54,71,58,67,51,48,52,56,39,53,39,51,37,37,34,36,27,27,16,22,17,16,10,15,22,21,22,16,20,19,14,22,12,11,7,26,7,12,8,11,9,12,9,13,5,15,13,18,8,9,7,16,10,12,7,5,3,5,4,3,2,8,3,4,2,1,2,1,3,1,0,1,2,1,0,1,0,1,0,0,1,1
三重里,3199,6949,3372,3577,58,50,55,46,61,54,61,54,44,47,63,52,34,44,29,41,35,29,28,15,31,27,27,22,20,24,28,17,28,25,34,28,27,36,43,30,33,24,36,33,42,33,39,32,29,43,29,40,43,36,41,47,44,35,31,41,31,44,39,43,42,53,62,79,66,83,59,74,60,81,74,80,73,94,76,77,89,88,83,96,63,79,75,59,74,57,62,63,59,66,66,71,53,65,44,49,53,60,51,53,56,53,54,45,55,46,45,49,44,52,45,45,44,50,48,49,38,49,48,40,30,41,35,42,39,45,43,44,30,39,26,40,30,39,24,29,21,16,16,12,9,15,20,10,6,14,11,18,15,22,13,9,16,16,8,13,11,12,7,12,4,9,7,7,6,10,7,10,10,12,3,9,6,4,3,6,3,6,2,3,3,4,0,4,2,1,0,2,0,3,1,0,1,2,0,0,0,0,0,0,0,0
三張里,3647,9321,4502,4819,47,45,53,40,44,41,60,36,50,45,37,35,34,30,31,27,32,30,31,25,33,19,36,25,33,27,31,34,34,47,55,36,46,45,49,50,43,49,62,46,55,53,63,41,41,57,70,58,57,45,67,53,61,63,55,54,48,63,55,65,62,68,79,59,71,71,60,87,65,89,51,85,96,81,67,79,88,76,59,66,53,69,70,72,74,70,65,86,60,77,58,73,71,66,73,75,77,85,62,66,58,82,56,69,66,85,84,68,70,75,73,71,65,87,69,80,64,65,67,78,68,86,66,58,64,70,56,91,59,79,64,60,60,61,43,61,44,61,33,50,37,45,37,39,35,45,23,42,22,48,29,36,25,28,19,35,17,27,28,20,18,36,25,26,22,17,21,18,12,20,19,16,15,17,17,11,12,10,9,11,14,13,15,11,5,3,5,7,4,6,5,0,3,4,2,4,1,0,1,0,2,3
三犁里,2155,5477,2595,2882,31,19,36,25,31,26,21,28,22,16,23,21,15,18,17,21,20,21,22,19,16,17,16,19,20,21,17,14,31,23,29,23,24,31,23,26,24,41,27,36,36,32,28,31,38,33,32,25,30,29,34,42,32,30,28,32,32,40,24,22,31,39,30,45,43,47,37,44,49,49,43,48,40,44,42,38,39,46,53,43,41,48,28,45,28,46,30,37,35,48,33,36,36,52,45,37,42,42,38,39,44,47,65,49,42,48,38,34,38,50,41,44,42,46,40,48,45,40,37,57,44,57,38,53,40,54,33,50,33,41,43,43,35,47,44,41,26,33,19,24,15,12,23,26,19,29,20,21,23,18,18,21,19,17,9,16,9,14,6,8,9,17,5,18,11,15,7,17,10,5,16,6,9,15,8,10,6,7,10,2,3,4,4,6,3,6,2,5,2,1,0,4,0,2,0,0,0,0,0,0,0,0
三愛里,3452,8881,4083,4798,35,33,58,46,41,35,61,41,40,37,28,33,46,31,48,44,50,38,40,47,49,41,62,51,56,62,59,49,49,54,60,61,55,52,56,42,55,55,59,43,42,42,48,43,43,42,34,41,46,58,38,46,42,54,28,46,40,37,39,41,48,42,48,65,47,56,47,71,58,78,47,73,50,81,56,66,55,81,75,77,61,73,61,73,47,74,56,95,63,90,57,76,59,89,69,84,55,75,49,87,46,73,57,70,63,75,56,77,58,63,48,76,80,54,64,82,47,72,45,69,54,70,53,69,60,60,51,77,59,77,54,63,58,62,35,56,48,51,40,40,23,44,34,44,30,35,33,39,28,36,26,28,35,37,26,36,19,33,29,34,24,23,15,34,20,21,19,18,7,23,19,17,22,15,14,19,16,18,11,10,11,9,8,12,4,6,6,5,4,5,4,1,4,2,1,2,0,3,0,1,0,1
