縣市名稱,鄉鎮市區名稱,村里名稱,鄉鎮市區代碼,村里代碼,人口數,面積,人口密度
臺北市,士林區,三玉里,63000110,033,6054,533159.1475,113.54958511708
臺北市,士林區,仁勇里,63000110,001,4347,131045.9404,331.71573165345
臺北市,士林區,公館里,63000110,044,1478,1787318.8518,8.269369500084
臺北市,士林區,天山里,63000110,040,7515,174427.5204,430.83797687237
臺北市,士林區,天母里,63000110,042,7093,1866736.4724,37.996793360344
臺北市,士林區,天玉里,63000110,041,9331,255617.5063,365.03759601852
臺北市,士林區,天和里,63000110,039,8178,395913.1381,206.56046018696
臺北市,士林區,天祿里,63000110,037,5393,140812.8168,382.99070514723
臺北市,士林區,天壽里,63000110,038,5279,212754.7048,248.12612275543
臺北市,士林區,天福里,63000110,036,6670,205022.4248,325.33026601878
臺北市,士林區,平等里,63000110,048,1502,6422422.5331,2.3386813811439
臺北市,士林區,永倫里,63000110,022,7558,629123.5862,120.13537825932
臺北市,士林區,永福里,63000110,043,1349,1477909.4493,9.1277581359192
臺北市,士林區,名山里,63000110,026,7515,392177.218,191.62255365889
臺北市,士林區,百齡里,63000110,011,7721,150169.5609,514.15213267764
臺北市,士林區,岩山里,63000110,025,3715,497568.3411,74.663110433977
臺北市,士林區,忠誠里,63000110,030,5975,146337.1067,408.30382223212
臺北市,士林區,承德里,63000110,012,5962,128538.6389,463.82940188423
臺北市,士林區,明勝里,63000110,014,5182,292047.9193,177.4366347968
臺北市,士林區,東山里,63000110,032,5537,1507006.6634,36.741708809089
臺北市,士林區,社子里,63000110,019,6782,370396.3589,183.10115196977
臺北市,士林區,社園里,63000110,021,7831,203254.4229,385.28066884197
臺北市,士林區,社新里,63000110,020,9214,399344.298,230.7282223922
臺北市,士林區,芝山里,63000110,031,7895,1102468.2319,71.612040796801
臺北市,士林區,前港里,63000110,010,4839,166246.9185,291.07306431066
臺北市,士林區,後港里,63000110,008,8541,576502.9132,148.15189662428
臺北市,士林區,富光里,63000110,016,6333,318710.3893,198.70704603981
臺北市,士林區,富洲里,63000110,024,5803,3167930.6484,18.3179515086
臺北市,士林區,菁山里,63000110,047,1713,11700678.6066,1.464017650253
臺北市,士林區,陽明里,63000110,046,3157,2178970.7668,14.488491759971
臺北市,士林區,新安里,63000110,045,2120,1988714.1625,10.660154385057
臺北市,士林區,溪山里,63000110,049,1489,10172746.3218,1.4637148641062
臺北市,士林區,義信里,63000110,002,3488,218298.9224,159.78090783283
臺北市,士林區,聖山里,63000110,029,5331,109756.4952,485.71157363268
臺北市,士林區,葫東里,63000110,018,4177,197152.3799,211.86657762481
臺北市,士林區,葫蘆里,63000110,017,7985,316958.8975,251.92540935059
臺北市,士林區,福中里,63000110,009,7366,263456.7388,279.59049495378
臺北市,士林區,福安里,63000110,023,4995,2638501.3487,18.931201238389
