標題,有警察局,沒有警察局
住宅竊盜平均個數,1.754386e-01,1.227344e-01
住宅竊盜平均指數,6.137898e-04,4.305093e-04
住宅竊盜3X3指數,6.038724e-04,5.005480e-04
住宅竊盜5X5指數,6.780608e-04,5.190165e-04
住宅竊盜7X7指數,6.801674e-04,5.314657e-04

汽車竊盜平均個數,1.594896e-02,1.452407e-02
汽車竊盜平均指數,4.894933e-05,6.640976e-05
汽車竊盜3X3指數,7.256317e-05,8.660370e-05
汽車竊盜5X5指數,9.817773e-05,9.143608e-05
汽車竊盜7X7指數,1.137887e-04,9.902705e-05

腳車竊盜平均個數,1.251994e-01,6.235746e-02
腳車竊盜平均指數,4.248335e-04,2.180706e-04
腳車竊盜3X3指數,4.290234e-04,2.753942e-04
腳車竊盜5X5指數,5.033908e-04,2.926990e-04
腳車竊盜7X7指數,4.737096e-04,3.022422e-04
